game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,losing_Team
719496,2023-02-24T18:05:00Z,2023-02-24,E,Final,Northeastern Huskies,Boston Red Sox,343,111,N,1,Oddanier Mosqueda,,,,3,5,7.0,Top,4309,JetBlue Park,[],,Boston Red Sox,Northeastern Huskies,Oddanier Mosqueda,James Quinlivan,Brendan Cellucci,2023-02-24 - Northeastern Huskies (3) @ Boston Red Sox (5) (Final),
718938,2023-02-24T20:05:00Z,2023-02-24,S,Final,Texas Rangers,Kansas City Royals,140,118,N,1,Daniel Lynch,Glenn Otto,,,5,6,9.0,Bottom,2603,Surprise Stadium,[],KC leads 1-0,Kansas City Royals,Texas Rangers,Ryan Weiss,Marc Church,,2023-02-24 - Texas Rangers (5) @ Kansas City Royals (6) (Final),
719395,2023-02-24T20:10:00Z,2023-02-24,S,Final,Seattle Mariners,San Diego Padres,136,135,N,1,Nick Martinez,Robbie Ray,,,3,2,9.0,Bottom,2530,Peoria Stadium,[],SEA wins Spring,Seattle Mariners,San Diego Padres,Prelander Berroa,Ryan Weathers,Riley O'Brien,2023-02-24 - Seattle Mariners (3) @ San Diego Padres (2) (Final),
719391,2023-02-25T18:05:00Z,2023-02-25,S,Final,New York Mets,Houston Astros,121,117,N,1,Brandon Bielak,Denyi Reyes,,,2,4,9.0,Top,5000,The Ballpark of the Palm Beaches,[],HOU wins Spring,Houston Astros,New York Mets,Matt Ruppenthal,Zach Muckenhirn,Tyler Brown,2023-02-25 - New York Mets (2) @ Houston Astros (4) (Final),
719389,2023-02-25T18:05:00Z,2023-02-25,S,Final,Washington Nationals,St. Louis Cardinals,120,138,N,1,Adam Wainwright,MacKenzie Gore,,,3,2,9.0,Bottom,2520,Roger Dean Chevrolet Stadium,[],WSH wins Spring,Washington Nationals,St. Louis Cardinals,Matt Cronin,Kodi Whitley,Gerardo Carrillo,2023-02-25 - Washington Nationals (3) @ St. Louis Cardinals (2) (Final),
719388,2023-02-25T18:05:00Z,2023-02-25,S,Final,Toronto Blue Jays,Pittsburgh Pirates,141,134,N,1,Mitch Keller,Yusei Kikuchi,,,9,7,9.0,Bottom,2526,LECOM Park,[],TOR wins Spring,Toronto Blue Jays,Pittsburgh Pirates,Trent Thornton,Jarlin Garcia,Jackson Rees,2023-02-25 - Toronto Blue Jays (9) @ Pittsburgh Pirates (7) (Final),
719393,2023-02-25T18:05:00Z,2023-02-25,S,Final,Minnesota Twins,Baltimore Orioles,142,110,N,1,Drew Rom,Louie Varland,,,5,10,9.0,Top,2508,Ed Smith Stadium,[],BAL wins Spring,Baltimore Orioles,Minnesota Twins,Ofreidy Gomez,Brock Stewart,,2023-02-25 - Minnesota Twins (5) @ Baltimore Orioles (10) (Final),
719394,2023-02-25T18:05:00Z,2023-02-25,S,Final,Tampa Bay Rays,Minnesota Twins,139,142,N,1,Kenta Maeda,Cooper Criswell,,,4,8,9.0,Top,2862,Hammond Stadium,[],MIN wins Spring,Minnesota Twins,Tampa Bay Rays,Jhoan Duran,Josh Fleming,,2023-02-25 - Tampa Bay Rays (4) @ Minnesota Twins (8) (Final),
719392,2023-02-25T18:05:00Z,2023-02-25,S,Final,Philadelphia Phillies,Detroit Tigers,143,116,N,1,Garrett Hill,Michael Plassmeyer,,,2,4,9.0,Top,2511,Publix Field at Joker Marchant Stadium,[],DET wins Spring,Detroit Tigers,Philadelphia Phillies,Zach Logue,Jakob Hernandez,Angel De Jesus,2023-02-25 - Philadelphia Phillies (2) @ Detroit Tigers (4) (Final),
719396,2023-02-25T18:05:00Z,2023-02-25,S,Final: Tied,Boston Red Sox,Atlanta Braves,111,144,N,1,Kolby Allard,Matt Dermody,,,6,6,9.0,Bottom,5380,CoolToday Park,['MLBN (out-of-market only)'],,,,,,,2023-02-25 - Boston Red Sox @ Atlanta Braves (Final: Tied),
