pitcher_id,pitcher_name,current_team,position,pitch_hand,games_started
661395,Jhoan Duran,Minnesota Twins,P,Right,0
472551,,Colorado Rockies,P,Left,0
605130,Scott Barlow,Kansas City Royals,P,Right,0
656353,Tucker Davidson,Los Angeles Angels,P,Left,0
665625,Elvis Peguero,Milwaukee Brewers,P,Right,0
666974,Yennier Cano,Baltimore Orioles,P,Right,0
607179,Jordan Weems,Washington Nationals,P,Right,0
657376,Clarke Schmidt,New York Yankees,P,Right,18
571945,Miles Mikolas,St. Louis Cardinals,P,Right,19
679525,Alec Marsh,Kansas City Royals,P,Right,2
592351,Jon Gray,Texas Rangers,P,Right,16
527054,Julio Teheran,Milwaukee Brewers,P,Right,8
672282,Reid Detmers,Los Angeles Angels,P,Left,16
682175,Joe Jacques,Boston Red Sox,P,Left,0
605400,Aaron Nola,Philadelphia Phillies,P,Right,19
527048,Martin Perez,Texas Rangers,P,Left,17
607067,Colin Rea,Milwaukee Brewers,P,Right,15
670280,David Bednar,Pittsburgh Pirates,P,Right,0
628708,Yunior Marte,Philadelphia Phillies,P,Right,0
605135,Chris Bassitt,Toronto Blue Jays,P,Right,19
472610,Luis Garcia,San Diego Padres,P,Right,0
543766,Bryan Shaw,Chicago White Sox,P,Right,0
548384,Brooks Raley,New York Mets,P,Left,0
676092,Collin Snider,Kansas City Royals,P,Right,0
664285,Framber Valdez,Houston Astros,P,Left,17
663465,Kolby Allard,Atlanta Braves,P,Left,2
573186,Marcus Stroman,Chicago Cubs,P,Right,19
641540,Dane Dunning,Texas Rangers,P,Right,12
572020,James Paxton,Boston Red Sox,P,Left,10
593958,Eduardo Rodriguez,Detroit Tigers,P,Left,12
656232,Brandon Bielak,Houston Astros,P,Right,10
592866,Trevor Williams,Washington Nationals,P,Right,18
622250,Josh Sborz,Texas Rangers,P,Right,0
656302,Dylan Cease,Chicago White Sox,P,Right,19
663947,Tyler Holton,Detroit Tigers,P,Left,1
665871,Javier Assad,Chicago Cubs,P,Right,1
650893,Genesis Cabrera,St. Louis Cardinals,P,Left,0
554340,Yimi Garcia,Toronto Blue Jays,P,Right,0
675911,Spencer Strider,Atlanta Braves,P,Right,18
434378,Justin Verlander,New York Mets,P,Right,12
592791,Jameson Taillon,Chicago Cubs,P,Right,15
607536,Kyle Freeland,Colorado Rockies,P,Left,19
669270,Joel Kuhnel,Houston Astros,P,Right,0
673540,Kodai Senga,New York Mets,P,Right,16
657508,Mike Baumann,Baltimore Orioles,P,Right,0
670059,Colin Holderman,Pittsburgh Pirates,P,Right,0
676710,Kutter Crawford,Boston Red Sox,P,Right,9
621244,Jose Berrios,Toronto Blue Jays,P,Right,18
543475,Jordan Lyles,Kansas City Royals,P,Right,17
628711,Julio Urias,Los Angeles Dodgers,P,Left,12
656427,Jack Flaherty,St. Louis Cardinals,P,Right,17
660825,Eduard Bazardo,Baltimore Orioles,P,Right,0
663903,Brady Singer,Kansas City Royals,P,Right,18
656288,Griffin Canning,Los Angeles Angels,P,Right,14
593334,Domingo German,New York Yankees,P,Right,17
502624,Chase Anderson,Colorado Rockies,P,Right,10
669387,Carmen Mlodzinski,Pittsburgh Pirates,P,Right,1
668933,Graham Ashcraft,Cincinnati Reds,P,Right,16
458681,Lance Lynn,Chicago White Sox,P,Right,18
660261,Shintaro Fujinami,Oakland Athletics,P,Right,7
656638,Alex Lange,Detroit Tigers,P,Right,0
664299,Cristian Javier,Houston Astros,P,Right,17
543518,Scott McGough,Arizona Diamondbacks,P,Right,0
605288,Adrian Houser,Milwaukee Brewers,P,Right,9
672578,Carlos Hernandez,Kansas City Royals,P,Right,4
623211,Huascar Brazoban,Miami Marlins,P,Right,0
518886,Craig Kimbrel,Philadelphia Phillies,P,Right,0
657024,Erik Swanson,Toronto Blue Jays,P,Right,0
623352,Josh Hader,San Diego Padres,P,Left,0
592836,Taijuan Walker,Philadelphia Phillies,P,Right,18
669923,George Kirby,Seattle Mariners,P,Right,17
596295,Austin Gomber,Colorado Rockies,P,Left,18
656756,Jordan Montgomery,St. Louis Cardinals,P,Left,18
666200,Jesus Luzardo,Miami Marlins,P,Left,19
663485,Cole Sands,Minnesota Twins,P,Right,0
670912,Johan Oviedo,Pittsburgh Pirates,P,Right,18
670950,Trevor Richards,Toronto Blue Jays,P,Right,3
650644,Aaron Civale,Cleveland Guardians,P,Right,9
592229,Dylan Covey,Philadelphia Phillies,P,Right,1
641627,Trevor Gott,New York Mets,P,Right,0
657612,Tim Hill,San Diego Padres,P,Left,0
663773,Bryan Hoeing,Miami Marlins,P,Right,6
571927,Steven Matz,St. Louis Cardinals,P,Left,11
579328,Yusei Kikuchi,Toronto Blue Jays,P,Left,18
489446,Kirby Yates,Atlanta Braves,P,Right,0
686613,Hunter Brown,Houston Astros,P,Right,17
664199,Taylor Clarke,Kansas City Royals,P,Right,1
663941,Tristan Beck,San Francisco Giants,P,Right,0
679885,Justin Martinez,Arizona Diamondbacks,P,Right,0
